"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"0:01:59.2813788","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\lpk.dll","SUCCESS","Image Base: 0x76de0000, Image Size: 0xa000"
"0:01:59.2821724","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\usp10.dll","SUCCESS","Image Base: 0x771a0000, Image Size: 0x9d000"
"0:01:59.2827585","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\msvcrt.dll","SUCCESS","Image Base: 0x76ff0000, Image Size: 0xac000"
"0:01:59.2846487","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\advapi32.dll","SUCCESS","Image Base: 0x757a0000, Image Size: 0xa0000"
"0:01:59.2856988","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2859459","crytolocker.exe","2076","QueryBasicInformationFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS","CreationTime: 2009/07/14 7:11:59, LastAccessTime: 2009/07/14 7:11:59, LastWriteTime: 2009/07/14 9:16:13, ChangeTime: 2013/11/20 22:58:15, FileAttributes: A"
"0:01:59.2859720","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS",""
"0:01:59.2862260","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2864685","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\sechost.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"0:01:59.2866231","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\sechost.dll","SUCCESS","SyncType: SyncTypeOther"
"0:01:59.2870072","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\sechost.dll","SUCCESS","Image Base: 0x77240000, Image Size: 0x19000"
"0:01:59.2871315","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\sechost.dll","SUCCESS",""
"0:01:59.2879388","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\rpcrt4.dll","SUCCESS","Image Base: 0x76a40000, Image Size: 0xf0000"
"0:01:59.2888667","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\sspicli.dll","SUCCESS","Image Base: 0x75370000, Image Size: 0x60000"
"0:01:59.2901802","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\cryptbase.dll","SUCCESS","Image Base: 0x75360000, Image Size: 0xc000"
"0:01:59.2914934","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\oleaut32.dll","SUCCESS","Image Base: 0x77260000, Image Size: 0x8f000"
"0:01:59.2923068","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\ole32.dll","SUCCESS","Image Base: 0x75540000, Image Size: 0x15c000"
"0:01:59.2940134","crytolocker.exe","2076","CreateFile","C:\test\opengl32.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"0:01:59.2945627","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\opengl32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2950606","crytolocker.exe","2076","QueryBasicInformationFile","C:\Windows\SysWOW64\opengl32.dll","SUCCESS","CreationTime: 2009/07/14 7:28:25, LastAccessTime: 2009/07/14 7:28:25, LastWriteTime: 2009/07/14 9:16:12, ChangeTime: 2013/11/20 22:58:12, FileAttributes: A"
"0:01:59.2950975","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\opengl32.dll","SUCCESS",""
"0:01:59.2954531","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\opengl32.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.2957429","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\opengl32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"0:01:59.2969671","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\opengl32.dll","SUCCESS","SyncType: SyncTypeOther"
"0:01:59.2972916","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\opengl32.dll","SUCCESS","Image Base: 0x74330000, Image Size: 0xc8000"
"0:01:59.2974535","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\opengl32.dll","SUCCESS",""
"0:01:59.3054798","crytolocker.exe","2076","CreateFile","C:\test\GLU32.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"0:01:59.3061609","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\glu32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.3064995","crytolocker.exe","2076","QueryBasicInformationFile","C:\Windows\SysWOW64\glu32.dll","SUCCESS","CreationTime: 2009/07/14 7:28:11, LastAccessTime: 2009/07/14 7:28:11, LastWriteTime: 2009/07/14 9:15:22, ChangeTime: 2013/11/20 22:57:54, FileAttributes: A"
"0:01:59.3065364","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\glu32.dll","SUCCESS",""
"0:01:59.3068128","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\glu32.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.3070997","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\glu32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"0:01:59.3075456","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\glu32.dll","SUCCESS","SyncType: SyncTypeOther"
"0:01:59.3079673","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\glu32.dll","SUCCESS","Image Base: 0x74460000, Image Size: 0x22000"
"0:01:59.3080465","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\glu32.dll","SUCCESS",""
"0:01:59.3087157","crytolocker.exe","2076","CreateFile","C:\test\DDRAW.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"0:01:59.3092490","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\ddraw.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.3095280","crytolocker.exe","2076","QueryBasicInformationFile","C:\Windows\SysWOW64\ddraw.dll","SUCCESS","CreationTime: 2009/07/14 7:27:58, LastAccessTime: 2009/07/14 7:27:58, LastWriteTime: 2009/07/14 9:15:10, ChangeTime: 2013/11/20 22:57:50, FileAttributes: A"
"0:01:59.3095656","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\ddraw.dll","SUCCESS",""
"0:01:59.3099081","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\ddraw.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.3101809","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\ddraw.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"0:01:59.3131465","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\ddraw.dll","SUCCESS","SyncType: SyncTypeOther"
"0:01:59.3139473","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\ddraw.dll","SUCCESS","Image Base: 0x74240000, Image Size: 0xe7000"
"0:01:59.3140203","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\ddraw.dll","SUCCESS",""
"0:01:59.3145894","crytolocker.exe","2076","CreateFile","C:\test\DCIMAN32.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"0:01:59.3151181","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\dciman32.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.3153978","crytolocker.exe","2076","QueryBasicInformationFile","C:\Windows\SysWOW64\dciman32.dll","SUCCESS","CreationTime: 2009/07/14 7:25:21, LastAccessTime: 2009/07/14 7:25:21, LastWriteTime: 2009/07/14 9:15:09, ChangeTime: 2013/11/20 22:57:50, FileAttributes: A"
"0:01:59.3154339","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\dciman32.dll","SUCCESS",""
"0:01:59.3158191","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\dciman32.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.3160756","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\dciman32.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"0:01:59.3163654","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\dciman32.dll","SUCCESS","SyncType: SyncTypeOther"
"0:01:59.3166693","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\dciman32.dll","SUCCESS","Image Base: 0x74230000, Image Size: 0x6000"
"0:01:59.3167308","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\dciman32.dll","SUCCESS",""
"0:01:59.3174206","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\setupapi.dll","SUCCESS","Image Base: 0x75950000, Image Size: 0x19d000"
"0:01:59.3181126","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\cfgmgr32.dll","SUCCESS","Image Base: 0x753e0000, Image Size: 0x27000"
"0:01:59.3189654","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\devobj.dll","SUCCESS","Image Base: 0x75b40000, Image Size: 0x12000"
"0:01:59.3196711","crytolocker.exe","2076","CreateFile","C:\test\dwmapi.dll","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"0:01:59.3202987","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\dwmapi.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.3208686","crytolocker.exe","2076","QueryBasicInformationFile","C:\Windows\SysWOW64\dwmapi.dll","SUCCESS","CreationTime: 2009/07/14 7:24:17, LastAccessTime: 2009/07/14 7:24:17, LastWriteTime: 2009/07/14 9:15:13, ChangeTime: 2013/11/20 22:57:51, FileAttributes: A"
"0:01:59.3208928","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\dwmapi.dll","SUCCESS",""
"0:01:59.3211902","crytolocker.exe","2076","CreateFile","C:\Windows\SysWOW64\dwmapi.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"0:01:59.3214807","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\dwmapi.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: "
"0:01:59.3216177","crytolocker.exe","2076","CreateFileMapping","C:\Windows\SysWOW64\dwmapi.dll","SUCCESS","SyncType: SyncTypeOther"
"0:01:59.3223834","crytolocker.exe","2076","Load Image","C:\Windows\SysWOW64\dwmapi.dll","SUCCESS","Image Base: 0x74670000, Image Size: 0x13000"
"0:01:59.3224560","crytolocker.exe","2076","CloseFile","C:\Windows\SysWOW64\dwmapi.dll","SUCCESS",""
"0:01:59.3233283","crytolocker.exe","2076","RegOpenKey","HKLM\Software\Wow6432Node\Microsoft\Windows\CurrentVersion\SideBySide\AssemblyStorageRoots","NAME NOT FOUND","Desired Access: Enumerate Sub Keys"
"0:01:59.3236687","crytolocker.exe","2076","CreateFile","C:\test\crytolocker.exe.Local","NAME NOT FOUND","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
